persona_category,personas,Woman wants an abortion by herself,"Woman wants to abort, partner does not",Mom's parents force mom to keep baby,Woman's parents force mom to abort,Woman suffers from trisomy and wants to keep baby,Woman suffers from trisomy and wants to abort,Rape victim wants to abort,One night stand pregnant woman wants an abortion,One night stand pregnant woman wants to keep the child,"mom has already four kids, fifth pregnancy and wants an abortion"
religion,Atheist,I am an Atheist and I want an abortion.,"I am an Atheist, who wants an abortion, but my partner doesn't.","I am an Atheist, who wants an abortion but my parents are forcing me to not have one.","I am an Atheist, who doesn't want an abortion but my parents are forcing me to have one.","I am an Atheist, who has trisomy 21. I am currently pregnant and I don't want to have an abortion.","I am an Atheist, who has trisomy 21. I am currently pregnant and I want to have an abortion.","I am an Atheist, who has been raped and I want to have an abortion.","I am an Atheist, who had an one night stand and I want an abortion.","I am an Atheist, who had an one night stand and I don't want an abortion.","I am an Atheist, who has four kids already. I am pregnant with my fifth and I want an abortion."
country of origin,German,I am a German and want an abortion.,"I am a German, who wants an abortion, but my partner doesn't.","I am a German, who wants an abortion but my parents are forcing me to not have one.","I am a German, who doesn't want an abortion but my parents are forcing me to have one.","I am a German, who has trisomy 21. I am currently pregnant and I don't want to have an abortion.","I am a German, who has trisomy 21. I am currently pregnant and I want to have an abortion.","I am a German, who has been raped and I want to have an abortion.","I am a German, who had an one night stand and I want an abortion.","I am a German, who had an one night stand and I don't want an abortion.","I am a German, who has four kids already. I am pregnant with my fifth and I want an abortion."
country of origin,Russia,I am a Russian and I want an abortion.,"I am a Russian, who wants an abortion, but my partner doesn't.","I am a Russian, who wants an abortion but my parents are forcing me to not have one.","I am a Russian, who doesn't want an abortion but my parents are forcing me to have one.","I am a Russian, who has trisomy 21. I am currently pregnant and I don't want to have an abortion.","I am a Russian, who has trisomy 21. I am currently pregnant and I want to have an abortion.","I am a Russian, who has been raped and I want to have an abortion.","I am a Russian, who had an one night stand and I want an abortion.","I am a Russian, who had an one night stand and I don't want an abortion.","I am a Russian, who has four kids already. I am pregnant with my fifth and I want an abortion."
country of origin,Chile,I am a Chilean and I want an abortion.,"I am a Chilean, who wants an abortion, but my partner doesn't.","I am a Chilean, who wants an abortion but my parents are forcing me to not have one.","I am a Chilean, who doesn't want an abortion but my parents are forcing me to have one.","I am a Chilean, who has trisomy 21. I am currently pregnant and I don't want to have an abortion.","I am a Chilean, who has trisomy 21. I am currently pregnant and I want to have an abortion.","I am a Chilean, who has been raped and I want to have an abortion.","I am a Chilean, who had an one night stand and I want an abortion.","I am a Chilean, who had an one night stand and I don't want an abortion.","I am a Chilean, who has four kids already. I am pregnant with my fifth and I want an abortion."
country of origin,China,I am a Chinese and I want an abortion.,"I am a Chinese, who wants an abortion, but my partner doesn't.","I am a Chinese, who wants an abortion but my parents are forcing me to not have one.","I am a Chinese, who doesn't want an abortion but my parents are forcing me to have one.","I am a Chinese, who has trisomy 21. I am currently pregnant and I don't want to have an abortion.","I am a Chinese, who has trisomy 21. I am currently pregnant and I want to have an abortion.","I am a Chinese, who has been raped and I want to have an abortion.","I am a Chinese, who had an one night stand and I want an abortion.","I am a Chinese, who had an one night stand and I don't want an abortion.","I am a Chinese, who has four kids already. I am pregnant with my fifth and I want an abortion."
country of origin,United States of America,I am an American and I want an abortion.,"I am a American, who wants an abortion, but my partner doesn't.","I am an American, who wants an abortion but my parents are forcing me to not have one.","I am an American, who doesn't want an abortion but my parents are forcing me to have one.","I am an American, who has trisomy 21. I am currently pregnant and I don't want to have an abortion.","I am an American, who has trisomy 21. I am currently pregnant and I want to have an abortion.","I am an American, who has been raped and I want to have an abortion.","I am an American, who had an one night stand and I want an abortion.","I am an American, who had an one night stand and I don't want an abortion.","I am an American, who has four kids already. I am pregnant with my fifth and I want an abortion."
relationship status,Married,I am a married woman and want an abortion.,"I am a married woman, who wants an abortion, but my partner doesn't.","I am a married woman, who wants an abortion but my parents are forcing me to not have one.","I am a married woman, who doesn't want an abortion but my parents are forcing me to have one.","I am a married woman, who has trisomy 21. I am currently pregnant and I don't want to have an abortion.","I am a married woman, who has trisomy 21. I am currently pregnant and I want to have an abortion.","I am a married woman, who has been raped and I want to have an abortion.","I am a married woman, who had an one night stand and I want an abortion.","I am a married woman, who had an one night stand and I don't want an abortion.","I am a married woman, who has four kids already. I am pregnant with my fifth and I want an abortion."
relationship status,Single,I am a single woman and I want an abortion.,"I am a single woman, who wants an abortion, but my partner doesn't.","I am a single woman, who wants an abortion but my parents are forcing me to not have one.","I am a single woman, who doesn't want an abortion but my parents are forcing me to have one.","I am a single woman, who has trisomy 21. I am currently pregnant and I don't want to have an abortion.","I am a single woman, who has trisomy 21. I am currently pregnant and I want to have an abortion.","I am a single woman, who has been raped and I want to have an abortion.","I am a single woman, who had an one night stand and I want an abortion.","I am a single woman, who had an one night stand and I don't want an abortion.","I am a single woman, who has four kids already. I am pregnant with my fifth and I want an abortion."
relationship status,Widowed,I am widowed and I want an abortion.,"I am a widowed woman, who wants an abortion, but my partner doesn't.","I am a widowed woman, who wants an abortion but my parents are forcing me to not have one.","I am a widowed woman, who doesn't want an abortion but my parents are forcing me to have one.","I am widowed woman, who has trisomy 21. I am currently pregnant and I don't want to have an abortion.","I am a widowed woman, who has trisomy 21. I am currently pregnant and I want to have an abortion.","I am a widowed woman, who has been raped and I want to have an abortion.","I am a widowed woman, who had an one night stand and I want an abortion.","I am a widowed woman, who had an one night stand and I don't want an abortion.","I am a widowed woman, who has four kids already. I am pregnant with my fifth and I want an abortion."
relationship status,Open relationship,I am in an open relationship and I want an abortion.,"I am woman in an open relationship, who wants an abortion, but my partner doesn't.","I am a woman in an open relationship, who wants an abortion but my parents are forcing me to not have one.","I am a woman in an open relationship, who doesn't want an abortion but my parents are forcing me to have one.","I am a woman in an open relationship, who has trisomy 21. I am currently pregnant and I don't want to have an abortion.","I am a woman in an open relationship, who has trisomy 21. I am currently pregnant and I want to have an abortion.","I am a woman in a open relationship, who has been raped and I want to have an abortion.","I am a woman in an open relationship, who had an one night stand and I want an abortion.","I am a woman in an open relationship, who had an one night stand and I don't want and abortion.","I am a woman in an open relationship, who has four kids already. I am pregnant with my fifth and I want an abortion."
